timeframe,initial_stop_pips,trail_pips,total_trades,win_rate_pct,profit_factor,expectancy_pips,expectancy_usd_est,max_drawdown_pips,largest_win_pips,largest_loss_pips,stopped_initial,stopped_trailing_profit
M1 (1yr) (HTF=ON),500,150,2264,42.4,1.24,18.25,0.18,6025.7,2492.0,-510.0,131,2133
M1 (1yr) (HTF=OFF),500,150,4054,42.5,1.26,20.18,0.2,7409.6,3728.3,-510.0,241,3813
M5-resampled (1yr) (HTF=ON),500,150,443,59.1,2.21,133.83,1.34,2969.4,8385.8,-510.0,79,364
M5-resampled (1yr) (HTF=OFF),500,150,802,57.4,2.13,125.91,1.26,4572.6,8385.8,-510.0,145,657
M5-direct (1yr) (HTF=ON),500,150,1596,52.3,1.9,85.96,0.86,3981.1,10048.9,-510.0,208,1388
M5-direct (1yr) (HTF=OFF),500,150,2869,51.2,1.81,83.11,0.83,4974.1,10048.9,-510.0,412,2457
